"instanceID","siteLabel","date","gpsLocation:Latitude","gpsLocation:Longitude","gpsLocation:Altitude","gpsLocation:Accuracy","sitePic__filename","sitePic__type","sitePic__url","sitePic","aspect","slope","SiteNotes","weather","startTime","device","daubPlots__daub_Xcoord","daubPlots__daub_Ycoord","daubPlots__denso","daubPlots__daubplotbare","daubPlots__daubplotltter","daubPlots__daubplotgraminoid","daubPlots__daubplotforb","daubPlots__daubplotshrub","daubPlots__daubplottree","daubPlots__depthOhorizon","daubPlots__depthMhorizon1","daubPlots__depthOhorizon2","daubPlots__depthMhorizon2","daubPlots__depthOhorizon3","daubPlots__depthMhorizon3","daubPlots__depthOhorizon4","daubPlots__depthMhorizon4","daubPlots__tempOhorizon","daubPlots__tempMineral","daubPlots__VegCompositionBlock__speciesCode","daubPlots__VegCompositionBlock__coverClass","vegRich_tree","vegRich_shrub","deadDown","plantMeasurements__plantStartTime","plantMeasurements__taxon","plantMeasurements__indiv","plantMeasurements__xcoord","plantMeasurements__ycoord","plantMeasurements__direction","plantMeasurements__phenology","plantMeasurements__asochost","plantMeasurements__circumStem","plantMeasurements__width","plantMeasurements__width2","plantMeasurements__height","plantMeasurements__height_sample","endTime"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T00:15:24.524Z","Juncom","6","3","34","null","vegetative","null","null","500","500","56","56",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T00:20:08.600Z","Juncom","7","5","6","null","fruiting","null","null","500","500","72","60",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T00:22:41.698Z","Juncom","8","6","1","null","fruiting","null","null","800","770","87","46",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T00:26:11.625Z","Juncom","9","25","10","null","vegetative","null","null","800","600","100","60",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T00:30:27.060Z","Juncom","10","32","18","null","fruiting","null","null","400","300","46","40",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T00:34:31.876Z","Artr","1","25","1","null","vegetative","null","null","85","45","78","70",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T00:46:39.533Z","Artr","2","18","26","null","vegetative","null","null","102","86","62","50",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T00:49:47.844Z","Artr","3","11","35","null","flowering","null","null","100","83","63","50",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T00:53:07.676Z","Artr","4","12","29","null","flowering","null","null","53","39","54","40",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T00:56:06.254Z","Artr","5","10","26","null","flowering","null","null","87","66","113","70",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T00:59:45.006Z","Artr","6","12","21","null","flowering","null","null","118","80","81","60",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T01:01:41.568Z","Artr","7","17","21","null","flowering","null","null","59","33","59","30",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T01:04:27.049Z","Artr","8","24","21","null","vegetative","null","null","46","21","35","34",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T01:07:10.039Z","Artr","9","22","3","null","flowering","null","null","93","83","92","60",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T01:10:23.301Z","Artr","10","21","3","null","flowering","null","null","118","70","91","50",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T01:14:08.044Z","Thalictrum","1","26","21","null","vegetative","null","null","25","20","20","19",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T01:24:48.229Z","Thalictrum","2","28","28","null","vegetative","null","null","20","19","27","24",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T13:25:31.621Z","Thalictrum","3","29","28","null","vegetative","null","null","20","15","29","27",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T13:27:25.940Z","Thalictrum","4","29","27","null","vegetative","null","null","16","14","20","17",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T13:30:20.493Z","Thalictrum","5","32","26","null","vegetative","null","null","17","15","19","18",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T13:32:28.048Z","Thalictrum","6","35","25","null","vegetative","null","null","22","20","26","20",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T13:35:22.212Z","Thalictrum","7","46","27","null","vegetative","null","null","17","14","25","23",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T13:39:49.786Z","Thalictrum","8","42","33","null","vegetative","null","null","28","18","28","25",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T13:42:39.840Z","Thalictrum","9","41","43","null","vegetative","null","null","17","13","36","30",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T13:46:27.158Z","Thalictrum","10","43","43","null","vegetative","null","null","13","10","25","20",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T13:49:13.160Z","Symph","1","26","10","null","vegetative","null","null","null","null","33","30",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T13:58:08.817Z","Symph","2","39","17","null","vegetative","null","null","null","null","26","22",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T14:02:01.977Z","Symph","3","38","17","null","vegetative","null","null","null","null","28","20",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T14:04:40.616Z","Symph","4","19","24","null","fruiting","null","null","210","139","77","50",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T14:09:02.566Z","Symph","5","21","24","null","fruiting","null","null","38","25","55","45",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T14:11:47.292Z","Symph","6","15","23","null","fruiting","null","null","null","null","54","23",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T14:14:29.549Z","Symph","7","12","18","null","fruiting","null","null","null","null","64","20",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T14:17:06.957Z","Symph","8","12","16","null","fruiting","null","null","null","null","58","50",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T14:19:39.771Z","Symph","9","11","17","null","fruiting","null","null","null","null","61","30",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T14:22:19.990Z","Symph","10","0","16","null","fruiting","null","null","null","null","65","50",""
"uuid:81338a7d-ceb0-4e63-b62d-2805dd3795f5","6_3","2018-08-17T17:49:00.000Z","44.16650105386309","-107.07132228924469","3106.5418113116866","6.0","","","","null","West","30","null","sunny","2018-08-17T17:49:29.419Z","C8:14:79:50:D6:8E","10","17","0","2","2","4","3","0","0","0","16","0","15","0","11","0","10","null","61.3","Juncus","4","2","3","7","2018-08-17T18:37:43.822Z","Fir","1","18","20","west","vegetative","null","57.0","700","600","800","65","2018-08-17T22:39:02.817Z"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fragaria","2","","","","2018-08-17T18:48:07.785Z","Fir","2","22","6","west","vegetative","null","32.0","350","300","500","140",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Vacc scop","2","","","","2018-08-17T18:51:39.291Z","Fir","3","26","1","north","fruiting","null","44.0","320","300","745","160",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unk gtass","2","","","","2018-08-17T18:56:26.244Z","Fir","4","31","3","north","fruiting","null","41.0","null","null","380","140",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unk forb 1","1","","","","2018-08-17T19:00:28.224Z","Fir","5","31","0","east","fruiting","null","43.0","null","null","600","91",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Potdiv","1","","","","2018-08-17T19:04:00.574Z","Fir","6","19","7","west","fruiting","null","45.0","250","250","530","135",""
"","","","","","","","","","","","","","","","","","0","13","0","3","2","2","3","0","0","0","2","0","4","0","14","0","6","null","68.2","Rubus","3","","","","2018-08-17T19:08:35.620Z","Fir","7","32","25","north","fruiting","null","21.0","null","null","500","150",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Juncus","2","","","","2018-08-17T19:13:15.499Z","Fir","8","31","29","south","vegetative","null","43.0","300","300","320","100",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unk grass","2","","","","2018-08-17T19:18:06.404Z","Fir","9","44","24","north","fruiting","null","42.0","500","500","580","63",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Antennaria","1","","","","2018-08-17T19:24:25.257Z","Fir","10","45","18","west","fruiting","null","23.0","700","700","600","48",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trifoliim","2","","","","2018-08-17T19:27:30.841Z","Vacscop","1","21","25","null","vegetative","null","null","19","16","9","7",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Phlox","2","","","","2018-08-17T19:37:00.166Z","Vsccscop","2","16","25","null","vegetative","null","null","64","19","10","6",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Aster 1","2","","","","2018-08-17T19:39:09.597Z","Vaccscop","3","10","27","null","vegetative","null","null","null","null","10","6",""
"","","","","","","","","","","","","","","","","","19","24","0","1","4","2","0","5","0","0","5","0","2","0","5","0","8","null","58.2","Vacc scop","6","","","","2018-08-17T19:41:47.139Z","Vaccscop","4","2","21","null","vegetative","null","null","30","10","10","6",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Antennaria","2","","","","2018-08-17T19:44:47.298Z","Vaccscop","5","4","38","null","vegetative","null","null","null","null","15","8",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unk gtass","2","","","","2018-08-17T19:47:40.340Z","Vaccscop","6","32","26","null","vegetative","null","null","15","10","10","6",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Potdiv","1","","","","2018-08-17T19:50:47.872Z","Vaccscop","7","33","28","null","vegetative","null","null","12","9","9","7",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Carex","1","","","","2018-08-17T19:53:35.085Z","Vaccscop","8","19","19","null","vegetative","null","null","null","null","10","6",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unk forb","1","","","","2018-08-17T19:57:46.953Z","Vaccscop","9","28","19","null","vegetative","null","null","6","5","7","5",""
"","","","","","","","","","","","","","","","","","24","37","0","4","2","3","2","0","0","0","7","0","12","0","11","0","7","null","61.8","Unk gtass","2","","","","2018-08-17T20:01:06.181Z","Vaccscop","10","28","20","null","vegetative","null","null","null","null","12","6",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fexcue","2","","","","2018-08-17T20:03:22.743Z","Jun us","1","17","25","null","fruiting","null","null","null","null","25","14",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Antennaria","2","","","","2018-08-17T20:10:32.476Z","Juncus","2","12","27","null","fruiting","null","null","50","40","23","10",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Carex","2","","","","2018-08-17T20:14:44.742Z","Juncus","3","12","29","null","fruiting","null","null","36","34","25","16",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Potdiv","1","","","","2018-08-17T20:19:10.357Z","Juncus","4","0","26","null","fruiting","null","null","43","37","28","12",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T20:21:02.960Z","Juncus","5","4","20","null","fruiting","null","null","25","20","25","15",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T20:24:39.642Z","Juncus","6","31","25","null","fruiting","null","null","40","39","29","12",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T20:29:22.589Z","Juncus","7","29","26","null","fruiting","null","null","15","14","15","10",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T20:32:47.675Z","Juncus","8","28","34","null","fruiting","null","null","42","35","20","10",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T20:36:17.057Z","Juncus","9","22","34","null","fruiting","null","null","55","40","27","11",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T20:39:56.311Z","Juncus","10","22","29","null","fruiting","null","null","null","null","27","15",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T20:43:21.589Z","Juncom","1","2","22","null","vegetative","null","null","170","89","33","20",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T20:50:51.416Z","Juncom","2","3","17","null","fruiting","null","null","200","167","36","24",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T20:54:03.727Z","Juncom","3","4","17","null","vegetative","null","null","120","74","28","18",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T20:56:25.532Z","Juncom","4","0","10","null","vegetative","null","null","212","140","32","18",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T21:00:01.150Z","Juncom","5","16","13","null","vegetative","null","null","154","71","22","14",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T21:04:50.258Z","Juncom","6","17","13","null","vegetative","null","null","121","106","27","20",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T21:06:59.866Z","Juncom","7","50","13","null","vegetative","null","null","200","175","41","20",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T21:11:28.286Z","Juncom","8","50","13","null","vegetative","null","null","85","54","22","14",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T21:15:27.826Z","Juncom","9","50","44","null","fruiting","null","null","420","310","30","28",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T21:19:01.825Z","Juncom","10","49","46","null","fruiting","null","null","175","145","31","28",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T21:22:32.997Z","Frasera","1","12","33","null","vegetative","null","null","51","43","33","25",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T21:32:43.198Z","Frasera","2","6","37","null","vegetative","null","null","50","20","30","20",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T21:36:19.811Z","Frasera","3","4","37","null","vegetative","null","null","46","43","21","10",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T21:39:23.811Z","Frasera","4","20","36","null","vegetative","null","null","45","25","25","18",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T21:42:46.088Z","Frasera","5","24","38","null","vegetative","null","null","40","38","24","15",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T21:45:22.654Z","Frasera","6","25","46","null","vegetative","null","null","26","27","20","14",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T21:48:31.399Z","Frasera","7","28","48","null","vegetative","null","null","21","20","16","10",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T21:51:30.295Z","Frasera","8","30","45","null","vegetative","null","null","28","25","22","13",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T21:54:20.431Z","Frasera","9","31","46","null","vegetative","null","null","20","18","14","8",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T21:57:17.232Z","Frasera","10","45","29","null","vegetative","null","null","31","21","20","10",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T22:00:24.117Z","Saxifrage","1","26","39","null","fruiting","null","null","30","13","38","13",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T22:08:25.975Z","Saxifeage","2","18","37","null","fruiting","null","null","35","26","27","12",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T22:11:45.411Z","Saxifrage","3","18","37","null","fruiting","null","null","29","24","30","10",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T22:14:33.130Z","Sax","4","18","40","null","fruiting","null","null","27","19","24","10",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T22:18:06.127Z","Sax","5","25","41","null","fruiting","null","null","26","26","30","10",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T22:21:12.515Z","Sax","6","9","36","null","fruiting","null","null","43","20","17","6",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T22:25:58.574Z","Sax","7","10","33","null","fruiting","null","null","24","19","14","7",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T22:28:49.988Z","Sax","8","12","33","null","vegetative","null","null","35","16","20","18",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T22:31:59.132Z","Sax","9","13","33","null","fruiting","null","null","42","24","30","8",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T22:35:12.667Z","Sax","10","14","33","null","fruiting","null","null","40","38","37","10",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-17T22:38:48.600Z","null","null","null","null","null","null","null","null","null","null","null","null",""
"uuid:7c45ce3d-d68b-4527-8d23-662f5e713f05","7_1 seneca","2018-08-24T16:23:00.000Z","43.044985712765275","-109.65522025217808","3325.3630352103414","4.0","","","","null","North to west","35","null","overcast","2018-08-24T16:23:00.470Z","C8:14:79:50:D6:8E","49","41","0","1","2","4","2","0","0","6","5","0","12","0","11","3","11","40.6","41.4","Juncus","3","0","2","0","2018-08-24T17:13:56.285Z","Salix","1","25","25","null","fruiting","null","null","130","124","15","8","2018-08-24T21:02:44.748Z"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Potdiv","2","","","","2018-08-24T17:25:24.490Z","Salix","2","15","17","null","vegetative","null","null","220","170","97","30",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Poa","2","","","","2018-08-24T17:31:57.450Z","Salix","3","25","12","null","vegetative","null","null","100","103","21","15",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Carex","3","","","","2018-08-24T17:35:52.725Z","Salix","4","29","3","null","vegetative","null","null","95","140","54","23",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unk bigleaf forb","1","","","","2018-08-24T17:39:39.473Z","Salix","5","28","9","null","vegetative","null","null","320","300","61","35",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Poppy","1","","","","2018-08-24T17:44:42.583Z","Salix","6","35","25","null","vegetative","null","null","290","275","68","32",""
"","","","","","","","","","","","","","","","","","25","33","0","2","2","2","2","0","0","0","20","0","15","0","15","0","15","null","41.0","Jincus","2","","","","2018-08-24T17:49:05.442Z","Salix","7","35","27","null","vegetative","null","null","300","200","82","25",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Carex","4","","","","2018-08-24T17:53:41.282Z","Salix","8","38","25","null","fruiting","null","null","330","270","52","31",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Poa","2","","","","2018-08-24T17:56:07.518Z","Salix","9","44","21","null","fruiting","null","null","246","230","101","35",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unk forb big leaf","2","","","","2018-08-24T18:00:53.539Z","Salix","10","48","26","null","vegetative","null","null","130","123","61","35",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bistort","1","","","","2018-08-24T18:05:43.352Z","Carex","1","25","40","null","fruiting","null","null","24","13","26","5",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Poppy","2","","","","2018-08-24T18:17:41.968Z","Carex","2","25","50","null","fruiting","null","null","null","null","24","6",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Antennaria","2","","","","2018-08-24T18:21:19.902Z","Carex","3","34","49","null","fruiting","null","null","9","8","14","6",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unk forb 2","2","","","","2018-08-24T18:25:11.477Z","Carex","4","44","29","null","fruiting","null","null","null","null","31","8",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fragaria","2","","","","2018-08-24T18:29:31.173Z","Carex","5","42","23","null","fruiting","null","null","null","null","26","4",""
"","","","","","","","","","","","","","","","","","12","32","0","5","1","2","2","0","0","0","3","0","5","0","12","0","6","null","43.0","Carex","2","","","","2018-08-24T18:32:40.357Z","Carex","6","27","21","null","fruiting","null","null","null","null","17","7",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Antennaria","3","","","","2018-08-24T18:36:56.489Z","Carex","7","11","31","null","fruiting","null","null","null","null","36","10",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Salix","2","","","","2018-08-24T18:40:25.939Z","Carex","8","31","5","null","fruiting","null","null","4","4","40","10",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bistort","1","","","","2018-08-24T18:44:26.761Z","Carex","9","24","17","null","fruiting","null","null","null","null","22","6",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Potdiv","1","","","","2018-08-24T18:47:37.807Z","Carex","10","25","21","null","fruiting","null","null","null","null","31","7",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trifolium","2","","","","2018-08-24T18:51:15.630Z","Purple","1","42","21","null","fruiting","null","null","23","20","25","6",""
"","","","","","","","","","","","","","","","","","45","10","0","2","0","1","4","3","0","0","14","0","19","0","9","0","12","null","43.3","Salix","5","","","","2018-08-24T19:01:54.030Z","Purple aster","2","44","20","null","fruiting","null","null","20","18","31","5",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unk forb big leaf","4","","","","2018-08-24T19:04:49.151Z","Purple","3","44","20","null","flowering","null","null","null","null","25","7",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Poppy","1","","","","2018-08-24T19:07:35.315Z","Purple","4","44","19","null","fruiting","null","null","27","22","25","7",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Geum","2","","","","2018-08-24T19:11:07.680Z","Purple","5","45","19","null","fruiting","null","null","31","27","27","6",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Potdiiv","3","","","","2018-08-24T19:14:33.574Z","Purple","6","45","21","null","fruiting","null","null","40","40","30","6",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bistort","1","","","","2018-08-24T19:18:08.583Z","Purple","7","44","31","null","fruiting","null","null","35","33","23","6",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unk graminoid","2","","","","2018-08-24T19:20:22.484Z","Purple","8","44","31","null","fruiting","null","null","20","19","31","6",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-24T19:21:17.067Z","Purple","9","32","30","null","fruiting","null","null","24","22","30","7",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-24T19:31:22.525Z","Purple","10","25","41","null","fruiting","null","null","29","43","32","10",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-24T19:32:53.971Z","Tiny salix","1","25","27","null","vegetative","null","null","null","null","2","1",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-24T19:43:06.405Z","Tiny salix","2","40","16","null","vegetative","null","null","null","null","3","2",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-24T19:46:37.151Z","Tiny salix","3","44","49","null","vegetative","null","null","null","null","3","2",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-24T19:51:17.895Z","Tiny salix","4","18","1","null","vegetative","null","null","null","null","3","2",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-24T19:56:23.729Z","Tiny salix","5","25","1","null","fruiting","null","null","null","null","3","2",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-24T20:00:33.854Z","Tiny salix","6","40","24","null","vegetative","null","null","null","null","3","2",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-24T20:04:35.750Z","Tiny salix","7","24","22","null","fruiting","null","null","null","null","3","2",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-24T20:08:29.786Z","Tiny salix","8","22","39","null","fruiting","null","null","9","9","3","1",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-24T20:13:20.425Z","Tiny salix","9","42","41","null","vegetative","null","null","null","null","3","2",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-24T20:16:20.877Z","Tiny salix","10","41","36","null","vegetative","null","null","null","null","3","2",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-24T20:19:40.901Z","Antennaria","1","24","25","null","fruiting","null","null","8","5","5","1",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08-24T20:31:57.816Z","Antennaria","2","17","0","null","fruiting","null","null","6","3","7","1",""
