instanceID,siteLabel,date,gpsLocation:Latitude,gpsLocation:Longitude,gpsLocation:Altitude,gpsLocation:Accuracy,sitePic__filename,sitePic__type,sitePic__url,sitePic,aspect,slope,SiteNotes,weather,startTime,device,daubPlots__daub_Xcoord,daubPlots__daub_Ycoord,daubPlots__denso,daubPlots__daubplotbare,daubPlots__daubplotltter,daubPlots__daubplotgraminoid,daubPlots__daubplotforb,daubPlots__daubplotshrub,daubPlots__daubplottree,daubPlots__depthOhorizon,daubPlots__depthMhorizon1,daubPlots__depthOhorizon2,daubPlots__depthMhorizon2,daubPlots__depthOhorizon3,daubPlots__depthMhorizon3,daubPlots__depthOhorizon4,daubPlots__depthMhorizon4,daubPlots__tempOhorizon,daubPlots__tempMineral,daubPlots__VegCompositionBlock__speciesCode,daubPlots__VegCompositionBlock__coverClass,vegRich_tree,vegRich_shrub,deadDown,plantMeasurements__plantStartTime,plantMeasurements__taxon,plantMeasurements__indiv,plantMeasurements__xcoord,plantMeasurements__ycoord,plantMeasurements__direction,plantMeasurements__phenology,plantMeasurements__asochost,plantMeasurements__circumStem,plantMeasurements__width,plantMeasurements__width2,plantMeasurements__height,plantMeasurements__height_sample,endTime
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T16:53:22.280Z,Small white,7,31,42,null,flowering,null,null,6,5,4,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T16:56:06.703Z,Small white,8,25,43,null,flowering,null,null,9,9,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T16:58:50.402Z,Small white,9,22,47,null,flowering,null,null,22,14,4,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T17:02:02.475Z,Small white,10,47,7,null,flowering,null,null,10,10,4,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T17:06:34.885Z,Carex 4_1_6_1,1,26,27,null,flowering,null,null,4,5,14,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T17:42:09.345Z,Cares,2,35,28,null,flowering,null,null,5,3,17,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T17:48:07.019Z,Carex,3,40,26,null,flowering,null,null,6,6,22,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T17:49:38.879Z,Carex,4,49,25,null,flowering,null,null,5,4,13,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T17:54:39.304Z,Xarex,5,49,38,null,flowering,null,null,null,null,12,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T18:01:06.550Z,Carex,6,21,21,null,flowering,null,null,8,5,9,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T18:03:07.594Z,Carex,7,6,30,null,flowering,null,null,6,5,15,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T18:06:48.258Z,Carex,8,8,13,null,flowering,null,null,6,6,12,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T18:16:48.217Z,Carex,9,50,15,null,flowering,null,null,4,5,9,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T18:21:05.050Z,Carex,10,28,15,null,flowering,null,null,9,5,13,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T18:31:23.854Z,Tripra,1,28,11,null,flowering,null,null,10,8,9,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T18:42:29.756Z,Tripra,2,30,30,null,flowering,null,null,9,6,4,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T18:44:44.759Z,Tripra,3,49,44,null,flowering,null,null,8,8,7,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T18:50:34.151Z,Tripra,4,5,18,null,flowering,null,null,9,5,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T18:55:15.858Z,Tripra,5,23,44,null,flowering,null,null,6,5,5,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T19:02:37.715Z,Tripra,6,9,35,null,flowering,null,null,null,null,null,null,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T19:03:00.634Z,Tripra,7,28,48,null,flowering,null,null,6,5,8,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T19:04:45.945Z,Tripra,8,38,24,null,flowering,null,null,10,9,7,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T19:07:26.811Z,Tripra,9,25,39,null,flowering,null,null,null,null,null,null,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T19:11:59.579Z,Tripra,10,26,35,null,flowering,null,null,null,null,5,2,
uuid:a0f94116-22cd-4a3c-89bb-d9f6e8818eec,4_2 pilot peak,2018-07-17T22:50:00.000Z,44.93391697,-109.6391307,2680.914086,6,,,,null,West,25,null,partlycloudy,2018-07-17T22:49:58.187Z,C8:14:79:50:D6:8E,18,49,0,1,2,2,4,1,0,12,0,5,0,11,0,12,0,54.6,null,Artemisia tridentata,4,1,1,0,2018-07-17T22:51:19.681Z,Art tri,1,20,25,north,flowering,null,null,156,112,91,65,2018-07-20T18:02:49.025Z
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geranium,3,,,,2018-07-17T22:53:30.051Z,Arttri,2,32,17,west,flowering,null,null,175,101,106,80,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epilobium,2,,,,2018-07-17T23:02:29.708Z,Arttri,3,1,26,west,flowering,null,null,75,81,62,40,
