instanceID,siteLabel,date,gpsLocation:Latitude,gpsLocation:Longitude,gpsLocation:Altitude,gpsLocation:Accuracy,sitePic__filename,sitePic__type,sitePic__url,sitePic,aspect,slope,SiteNotes,weather,startTime,device,daubPlots__daubplot:Latitude,daubPlots__daubplot:Longitude,daubPlots__daubplot:Altitude,daubPlots__daubplot:Accuracy,daubPlots__denso,daubPlots__daubplotbare,daubPlots__daubplotltter,daubPlots__daubplotgraminoid,daubPlots__daubplotforb,daubPlots__daubplotshrub,daubPlots__daubplottree,daubPlots__depthOhorizon,daubPlots__depthMhorizon1,daubPlots__depthOhorizon2,daubPlots__depthMhorizon2,daubPlots__tempOhorizon,daubPlots__tempMineral,daubPlots__VegCompositionBlock__speciesCode,daubPlots__VegCompositionBlock__coverClass,densit__denso,vegRich_tree,vegRich_shrub,vegRich_forb,vegRich_graminoid,deadDown,plantMeasurements__taxon,plantMeasurements__indiv,plantMeasurements__xcoord,plantMeasurements__ycoord,plantMeasurements__phenology,plantMeasurements__asochost,plantMeasurements__branching__branchnodes,plantMeasurements__branching__branchlength,plantMeasurements__width,plantMeasurements__width2,plantMeasurements__height,plantMeasurements__height_sample,endTime
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribes montigenum 1_1_4,1,12,24,flowering,null,,,92,61,30,25,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribes montigenum 1_1_4,2,15,25,flowering,null,,,33,27,21,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribes montigenum 1_1_4,3,16,24,flowering,null,,,58,51,31,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribes montigenum 1_1_4,4,16,22,flowering,null,,,310,51,35,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribes montigenum 1_1_4,5,16,27,flowering,null,,,154,18,18,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribes montigenum 1_1_4,6,36,36,flowering,null,,,380,310,53,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribes montigenum 1_1_4,7,39,35,flowering,null,,,260,250,62,26,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribes montigenum 1_1_4,8,40,38,flowering,null,,,450,400,75,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribes montigenum 1_1_4,9,44,26,flowering,null,,,100,84,32,23,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribes montigenum 1_1_4,10,25,18,flowering,null,,,100,82,53,33,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potentilla divirsifolium 1_1_5,1,11,22,flowering,null,,,9,8,10,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potentilla divirsifolium 1_1_5,2,9,26,flowering,null,,,31,23,31,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potentilla divirsifolium 1_1_5,3,42,17,flowering,null,,,10,9,13,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potentilla divirsifolium 1_1_5,4,36,1,flowering,null,,,8,8,9,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potentilla divirsifolium 1_1_5,5,43,20,flowering,null,,,10,8,18,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potentilla divirsifolium 1_1_5,6,1,10,flowering,null,,,33,18,14,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potentilla divirsifolium 1_1_5,7,11,3,flowering,null,,,16,16,18,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potentilla divirsifolium 1_1_5,8,33,34,flowering,null,,,14,14,15,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potentilla divirsifolium 1_1_5,9,21,26,flowering,null,,,20,20,13,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potentilla divirsifolium 1_1_5,10,19,17,flowering,null,,,13,12,13,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polygonum bistrotoides 1_1_6,1,18,25,flowering,null,,,9,8,19,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polygonum bistrotoides 1_1_6,2,11,32,flowering,null,,,14,11,28,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polygonum bistrotoides 1_1_6,3,15,38,flowering,null,,,5,5,15,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polygonum bistrotoides 1_1_6,4,22,41,flowering,null,,,10,9,30,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polygonum bistrotoides 1_1_6,5,29,33,flowering,null,,,10,7,26,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polygonum bistrotoides 1_1_6,6,33,23,flowering,null,,,12,9,31,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polygonum bistrotoides 1_1_6,7,33,19,flowering,null,,,7,6,25,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polygonum bistrotoides 1_1_6,8,28,4,flowering,null,,,14,12,28,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polygonum bistrotoides 1_1_6,10,32,1,flowering,null,,,8,8,22,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polemonium viscosum 1_1_7,1,17,15,flowering,null,,,11,12,18,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polemonium viscosum 1_1_7,2,35,16,flowering,null,,,25,19,19,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polemonium viscosum 1_1_7,3,17,47,flowering,null,,,11,12,7,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polemonium viscosum 1_1_7,4,0,33,flowering,null,,,16,9,13,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polemonium viscosum 1_1_7,5,43,33,flowering,null,,,16,16,16,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polemonium viscosum 1_1_7,6,7,21,flowering,null,,,9,8,14,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polemonium viscosum 1_1_7,7,45,25,flowering,null,,,6,5,15,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polemonium viscosum 1_1_7,8,24,40,flowering,null,,,11,12,19,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polemonium viscosum 1_1_7,9,45,0,flowering,null,,,12,13,23,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polemonium viscosum 1_1_7,10,4,13,flowering,null,,,12,10,15,4,
