instanceID,siteLabel,date,gpsLocation:Latitude,gpsLocation:Longitude,gpsLocation:Altitude,gpsLocation:Accuracy,sitePic__filename,sitePic__type,sitePic__url,aspect,slope,SiteNotes,weather,startTime,device,daubPlots__daub_Xcoord,daubPlots__daub_Ycoord,daubPlots__denso,daubPlots__daubplotbare,daubPlots__daubplotltter,daubPlots__daubplotgraminoid,daubPlots__daubplotforb,daubPlots__daubplotshrub,daubPlots__daubplottree,daubPlots__depthOhorizon,daubPlots__depthMhorizon1,daubPlots__depthOhorizon2,daubPlots__depthMhorizon2,daubPlots__tempOhorizon,daubPlots__tempMineral,daubPlots__VegCompositionBlock__speciesCode,daubPlots__VegCompositionBlock__coverClass,densit__denso,vegRich_tree,vegRich_shrub,vegRich_forb,vegRich_graminoid,deadDown,plantMeasurements__plantStartTime,plantMeasurements__taxon,plantMeasurements__indiv,plantMeasurements__xcoord,plantMeasurements__ycoord,plantMeasurements__phenology,plantMeasurements__asochost,plantMeasurements__width,plantMeasurements__width2,plantMeasurements__height,plantMeasurements__height_sample,endTime
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown grass,3,,,,,,,2018-06-23T19:05:40.148Z,Juniperus communis,5,0,25,fruiting,null,335,420,78,60,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosa,2,,,,,,,2018-06-23T19:10:57.820Z,Juniperus communis,6,1,22,vegetative,null,226,246,60,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arnica,2,,,,,,,2018-06-23T19:19:52.414Z,Juniperus communis,7,27,34,fruiting,null,400,330,110,90,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mahonia repens,2,,,,,,,2018-06-23T19:25:15.683Z,Juniperus communis,8,35,38,fruiting,null,210,100,83,60,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achillea m,2,,,,,,,2018-06-23T19:34:38.804Z,Juniperus communis,9,44,23,vegetative,null,380,180,81,45,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown forb,1,,,,,,,2018-06-23T19:42:26.751Z,Juniperus communis,10,42,6,vegetative,null,608,300,120,43,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vicia s90p,1,,,,,,,2018-06-23T19:47:41.738Z,Abies grandis,1,50,25,vegetative,null,600,600,2160,180,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Symohoricarous,2,,,,,,,2018-06-23T20:23:16.094Z,Abies grandis,2,42,19,vegetative,null,500,500,1310,null,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T20:39:08.383Z,Abies grandis,3,40,19,vegetative,null,500,400,1660,230,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T20:41:44.996Z,Abies grandis,4,30,7,vegetative,null,400,400,1160,85,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T20:50:36.379Z,Abies grandis,5,29,15,vegetative,null,450,450,1710,140,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T21:01:09.747Z,Abies grandis,6,15,3,vegetative,null,280,250,1160,180,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T21:10:37.621Z,Abies grandis,7,21,17,vegetative,null,380,350,110,168,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T21:18:22.157Z,Qabies grandis,8,25,21,vegetative,null,500,550,510,90,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T21:20:19.005Z,Abies grandis,9,40,28,vegetative,null,400,350,1060,210,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T21:32:27.488Z,Abies grandis,10,41,33,vegetative,null,250,250,1060,null,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T21:59:20.545Z,Populus angustifolium,1,24,48,vegetative,null,400,250,460,170,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T22:00:33.673Z,Populus angustifolium,2,12,49,vegetative,null,250,250,1560,140,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T22:05:33.194Z,Populus angustifolium,3,12,29,vegetative,null,500,400,1000,200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T22:14:14.864Z,Populus angustifolium,4,5,27,null,null,450,500,1560,180,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T22:25:54.466Z,Populus angustifolium,5,3,20,vegetative,null,250,250,420,140,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T22:32:10.547Z,Populus angustifolium,6,17,28,vegetative,null,220,220,450,177,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T22:37:57.458Z,Populus angustifolia,7,33,33,vegetative,null,220,200,410,198,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T22:41:56.443Z,Populus angustifolium,8,25,34,vegetative,null,600,600,1660,160,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T22:48:52.330Z,Populus angustifolium,9,16,41,vegetative,null,200,200,390,139,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T22:56:03.176Z,Populus angustifolium,10,3,30,vegetative,null,1100,500,1670,150,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T23:04:55.236Z,Populus trem,1,27,31,vegetative,null,56,40,140,93,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T23:12:02.301Z,Populus trem,2,18,33,vegetative,null,59,88,200,160,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T23:15:40.589Z,Populus trem,3,29,29,vegetative,null,300,600,460,226,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T23:29:59.691Z,Populus teem,4,45,8,vegetative,null,60,50,140,120,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T23:36:18.248Z,Pop trem,5,2,11,vegetative,null,125,91,150,120,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T23:45:49.170Z,Pop trem,6,26,11,vegetative,null,75,53,113,107,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T23:51:54.619Z,Pop trem,7,10,25,vegetative,null,65,55,124,100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-23T23:55:29.788Z,Poptrem,8,12,23,vegetative,null,110,91,220,130,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-24T00:01:30.415Z,Pop trem,9,43,32,vegetative,null,70,50,197,110,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-24T00:10:44.133Z,Potr,10,21,3,vegetative,null,156,110,210,130,
